Sıra No;Kitap Adı;Yazar Adı;Özgün Adı;Çevirmen;Serideki Yayın Yılı;Tanıtım Bülteni
106;"Oyunların Oyuncusu";"Iain M. Banks";"The Player of Games";"Doğa Özışık";2025;"Hem spekülatif kurgu hem de anaakım edebiyat sahasında eserler veren Iain M. Banks, ütopyacı bilimkurguyu Kültür Serisi kitaplarıyla devasa bir oyun sahnesine taşısa da ideolojilerle ilgili derdini, tarihsel bakış açısını asla kaybetmedi. Her ne kadar kariyerindeki ilk büyük çıkışını 1984 yılında yayımlanan Eşekarısı Fabrikası adlı kitabıyla yakalasa da döneminin en önemli yazarlarından biri olmasını sağlayan eserleri bilimkurgularıydı. Oyunların Oyuncusu ise Banks'in Kültür evrenindeki en eğlenceli ve en sevilen romanı.

Kültür'ün efsanevi oyuncusu Jernau Morat Gurgeh, her şeyin mümkün sayıldığı bir ütopyada anlam arayışından vazgeçmiş, can sıkıntısıyla boğuşan bir dâhiydi. Acımasız Azad İmparatorluğu'ndan gelen teklifse onun için bir kurtuluş vaadi gibiydi: Medeniyetin kaderini belirleyen Azad oyununa katılmak.

Azad, yalnızca bir strateji oyunundan ibaret değildi; imparatorluğun acımasız, cinsiyetçi ve hiyerarşik düzeninin ta kendisiydi. Oyunda başarı statüyü meşrulaştırırdı; yenilgi ise ölüm demekti. Gurgeh, bu arenada sadece rakipleriyle değil, bir varoluş biçiminin bizzat kendisiyle yüzleşecekti. Üstelik bu ölümcül oyunda yalnızca bir ""oyuncu"" değildi, farkında olmadan başka bir felsefenin silahı hâline gelecekti. Zaferin bedelinin koca bir medeniyete mal olacağı nihai oyundu bu.

Oyunların Oyuncusu, evrendeki en tehlikeli oyunun elkitabı."
107;"Kar Fırtınası";"Neal Stephenson";"Snow Crash";"Uğur Gülsün";2025;"Neal Stephenson, bilimi, mitolojiyi ve mizahı ustaca birleştiren, siberpunk türünün en önemli isimlerinden. Sanal gerçekliğin ve dijital tehlikelerin sınırlarını zorlayan Kar Fırtınası ise insan bilincinin en derin kodlarına nüfuz eden yüksek tempolu bir keşif hikâyesi.

Pizza kuryesi ve kılıç ustası Hiro Protagonist, sanal dünyanın üzerine kurulduğu devasa anayol olan Metaverse'te tehlikeli bir virüsün izini sürer. Bu virüs, yazılımı değil doğrudan insan beynini hedef alan, antik mitolojiden beslenen dijital bir salgındır.

Kar Fırtınası, mafyalaşmış şirketlerin, özelleşmiş şehir devletlerinin ve siber dünyadaki avatarların kol gezdiği, yozlaşmış bir geleceği resmediyor. Sanal ve fiziksel gerçeklik arasındaki çizgilerin bulanıklaştığı bu distopik evrende dil, bir iletişim aracından öte, kültürü ve bilinci yeniden kodlayabilen güçlü bir silaha dönüşüyor.

Stephenson'ın mizahi, keskin ve eleştirel diliyle kaleme aldığı Kar Fırtınası, kapitalist çürümenin izdüşümlerini ve teknolojinin kültürü nasıl bir yazılıma dönüştürdüğünü büyüleyici bir aksiyon dinamiğiyle anlatıyor.

Kar Fırtınası, antik bir felaketin geleceğe yansıması."
108;"Metropolis";"Thea von Harbou";"Metropolis";"Anıl Alacaoğlu";2025;"Thea von Harbou, Alman dışavurumculuğunun en güçlü kalemlerinden biri. Bir dönem hayat arkadaşı olan efsanevi yönetmen Fritz Lang ile kurdukları o devasa görsel evrenin temelinde de kendisinin bu eşsiz hayal gücü yatıyor. Yüzyıl öncesinden bugüne, yapay zekâ ve otomasyon çağının şafağına selam gönderen tekinsiz romanı Metropolis ise teknolojinin tahakkümü, kitlelerin manipülasyonu ve sınıf çatışması üzerine zamansız bir başyapıt.

Geleceğin muazzam şehri Metropolis'te yaşam, keskin ve acımasız bir dikey hiyerarşiye hapsolmuştur. Yukarıda, şehrin efendisi Joh Fredersen'in Yeni Babil Kulesi'nden yönettiği ışıltılı bir dünya ve seçkinlerin sefahat içinde yaşadığı Oğullar Kulübü; aşağıda, yerin derinliklerinde, şehri canlı tutmak için dev makinelerin dişlileri arasında ezilen, güneşe hasret isimsiz işçiler ordusu…

Ancak Fredersen'in oğlu Freder, işçilerin koruyucu meleği Maria ile karşılaştığında bu acımasız tiranlığın temelleri sarsılmaya başlar. Çünkü babasının inşa ettiği sözde cennet, aslında cehennemi yaşayanların sırtında yükselen bir kamburdan fazlası değildir. İki dünya arasındaki uçurum derinleşirken, hırslı mucit Rotwang'ın laboratuvarında ise insan suretine bürünmüş soğuk bir metal uyanır: Kaosun ve yıkımın habercisi olan ""Makine-İnsan"".

Artık insanlık, isyanın ve çeliğin gürültüsü arasında kendi kaderiyle yüzleşmek zorundadır.

Metropolis, insanlığın ulaştığı en yüksek zirve ve aynı zamanda en derin çukur."
109;"Kıyamet Kitabı";"Connie Willis";"Doomsday Book";"Özlem Yüksel";2026;"Bilimkurgu edebiyatının önemli isimlerinden Connie Willis, Hugo, Nebula ve Locus ödüllerinin üçünü birden kucaklayan bu dev eseriyle zaman yolculuğunu eşsiz bir dramaya dönüştürüyor. İnsan doğasının en karanlık zamanlarda bile sönmeyen umudunu sorgulayan Kıyamet Kitabı, bilimin soğukluğunu insani sıcaklıkla eriten, okuru tarihin tozlu ve hüzünlü sayfalarında yolculuğa çıkaran unutulmaz bir klasik.

Oxford Üniversitesi tarih bölümü, 2054 yılında geçmişi artık yerinde incelemektedir. Genç tarihçi Kivrin Engle'ın tek hayali, ortaçağın en güvenli yıllarından birine gidip Noel kutlamalarına tanıklık etmektir. Ancak teknisyenlerin yaptığı ölümcül bir hata, Kivrin'i şövalyelerin ve panayırların dünyasına değil, insanlık tarihinin gördüğü en büyük felaketin, Kara Veba'nın kol gezdiği 1348 yılına düşürür.

Kivrin çürüyen bir dünyada hayatta kalmaya çalışırken, 2054 Oxford'unda da gizemli bir salgın baş gösterir ve zaman makinesi karantinaya alınır. Akıl hocası Dunworthy, öğrencisini bu cehennemden kurtarmak için zamanla ve bürokrasiyle yarışacak; geçmiş ve gelecek ise benzer acılar ve korkularla birbirine düğümlenecektir.

Kıyamet Kitabı, tarihin en karanlık günlerine yapılan hüzünlü bir zaman yolculuğu…"
110;"Hyperion'ın Düşüşü-Hyperion Kantoları 2. Kitap";"Dan Simmons";"The Fall of Hyperion";"Yosun Erdemli Timuçin";2026;"Dan Simmons korku, fantazi ve bilimkurgu eserleriyle üç türü de derinden etkileyen, spekülatif kurgunun yaşayan en önemli isimlerinden biri. ""Uzayda geçen Canterbury Hikâyeleri"" olarak yorumlanan Hyperion Kantoları'nın ikinci kitabı Hyperion'ın Düşüşü ise varoluşa dair yazılmış en derin tragedyalar arasında.

İnsanlığın Hegemonyası için yolun sonu göründü. Atılmışlar'ın devasa donanmaları ağı kuşattı ve yüz elliden fazla dünya karanlığın eşiğine sürüklendi. Yönetim merkezi Tau Ceti'de kaos hüküm sürüyor ve yapay zekâ birliği TeknoÇekirdek'in sinsi planları nihayet meyvesini veriyor. Hyperion dünyasında ise beklenen an gelip çattı: Zaman Kabirleri açılıyor. Acı Lordu Shrike'ın korkunç gölgesi altında yedi hacı, kendi geçmişlerinin ve günahlarının bedelini ödemeye hazırlanıyor. Kabirlerin içindeki sırlar ortaya saçıldığında artık hiçbir şey eskisi gibi olmayacak.

Dün ve yarın, tek bir kıyamet ânında düğümleniyor. İnsanlık ya TeknoÇekirdek'in kurguladığı o kusursuz yok oluşa boyun eğecek ya da küllerinden yeniden doğacak.

Hyperion'ın Düşüşü, mutlak sonun yankısı."
111;"Zamanın Şafağı";"René Barjave";"La nuit des temps";"S. İpek Ortaer Montanari";2026;"Fransız bilimkurgusunun zarif kalemlerinden René Barjavel, teknolojinin vadettiği ilerleme ile insan doğasının kırılganlığı arasındaki çatışmayı ustaca işleyen bir modern zaman ozanı. Yazarın başyapıtı sayılan ve aslen bir film senaryosu olarak kaleme alınan Zamanın Şafağı ise insanlığın kibrine ve bitmek bilmeyen yıkım tutkusuna dair zamansız bir uyarı.

Antarktika'nın derinliklerinde tespit edilen gizemli bir sinyal, tüm zamanların en büyük arkeolojik keşfine dönüşür. Uluslararası bir bilim ekibi, buzların altında saklı kalmış kadim bir yapıya ve onun içinde de dondurularak korunmuş iki kişiye ulaşır. Çok geçmeden anlaşılır ki bu kişiler, kökleri insanlık tarihinden çok daha eskiye uzanan unutulmuş bir uygarlığın son tanıklarıdır. Uyandırıldıklarında, uygarlıklarını yok oluşa sürükleyen büyük bir felaketin ve zamana meydan okuyan ölümsüz bir aşkın hikâyesi de yavaş yavaş gün yüzüne çıkar.

Artık çözülen buzlarla birlikte her iki çağın umutları ve korkuları birbirine karışacak, o ezeli soru yeniden kendini hatırlatacaktır: Acaba insanlık, zaman ve mekân değişse de her çağda aynı trajediyi yaşamaya mahkûm mudur?

Zamanın Şafağı, insanın buzdaki yansıması."
112;"Beden Kemiricilerin İstilası";"Jack Finney";"Invasion of the Body Snatchers";"Beyza Güngör";2026;"Gerilim ile bilimkurgunun kesiştiği o tekinsiz sularda kalem oynatan Jack Finney, sıradan hayatların pürüzsüz yüzeyi altına gizlenmiş dehşeti eşelemekten hoşlanan bir anlatı mimarı. Birçok kez sinemaya da uyarlanan ve bilimkurguda ""paranoya"" kavramını yeniden tanımlayan başyapıtı Beden Kemiricilerin İstilası ise kimlik yitimi ve toplumsal yabancılaşma üzerine yazılmış sarsıcı bir klasik.

Kaliforniya'nın huzurlu kasabası Mill Valley'de hayat, her zamanki tekdüzeliğiyle akıp gitmektedir. Ancak Dr. Miles Bennell'ın muayenehanesine gelen hastalar, akıl almaz bir iddiayla bu huzurlu tabloyu bozmaya başlar: Sevdikleri insanlar, fiziksel olarak her detayıyla aynı görünmelerine rağmen artık ""kendileri"" değildir. Bakışlarındaki anlam yitmiş, duyguların yerini soğuk ve mekanik bir yabancılaşma almıştır.

Başta münferit birer sanrı gibi görülen şikâyetler, çok geçmeden tüm kasabayı esir alan kolektif bir dehşete dönüşür. Artık Dr. Bennell ve bir grup arkadaşı, Mill Valley'nin sokaklarında sinsice yayılan ve insanlığı âdeta içeriden ""kemiren"" bu tehditle yüzleşmek zorundadır.

Beden Kemiricilerin İstilası, paranoyanın vücut bulmuş hâli."
113;"Yeşil Mars";"Kim Stanley Robinson";"Green Mars";"Uğur Gülsün";2026;"Kim Stanley Robinson, günümüz bilimkurgusunun en büyük ustalarından biri. Özellikle uzay üzerine yazdığı romanlarla 90'lardan beri türün gelişimine katkıda bulunan yazarların en önde gelenlerinden. Bir gezegenin ekolojik ve siyasi evrimini derinlemesine işleyen Yeşil Mars ise ütopyanın inşası ile doğanın direnişi arasındaki o ince çizgide yürüyen muazzam bir devam anlatısı.

İlk yerleşimcilerin Kızıl Gezegen'e ayak basmasının üzerinden uzun zaman geçti. Mars artık bakir bir kaya parçası değil, hızla dönüşen bir dünya. Dünyalaştırma projesi gezegenin çehresini yavaş yavaş değiştirirken, yeraltında gizlenen öncüler ve onların Mars topraklarında doğan çocukları da yeni bir medeniyetin sancılı doğumuna tanıklık ediyor. Ancak bu değişim büyük bir ideolojik yarılmayı da beraberinde getiriyor ve gezegenin vahşi saflığını korumaya yeminli direnişçiler ile onu yaşanabilir bir cennete dönüştürmeyi arzulayanlar arasındaki uçurum her geçen gün derinleşiyor.

Artık mesele sadece hayatta kalmak değil, bu yeni ve yabancı doğanın içinde kimliği yeniden tanımlamak.

Yeşil Mars, ütopyanın topraktaki inadı."
114;"Mavi Mars";"Kim Stanley Robinson";"Blue Mars";"Uğur Gülsün";2026;"Kim Stanley Robinson, günümüz bilimkurgusunun en büyük ustalarından biri. Özellikle uzay üzerine yazdığı romanlarla 90'lardan beri türün gelişimine katkıda bulunan yazarların en önde gelenlerinden. Üçlemenin görkemli finali Mavi Mars ise buzların eridiği, denizlerin oluştuğu ve insanlığın kendi sınırlarını aşarak yeni bir türün şafağına adım attığı sarsıcı bir destan.

Okyanuslar yükseliyor, gökyüzü maviye çalıyor ve sonunda Mars, insanlığın kendi elleriyle inşa ettiği o muazzam ütopyaya dönüşüyor. Ancak bu yeni cennetin berrak suları, devasa politik fırtınaları ve yanıtlanması güç etik krizleri de beraberinde getiriyor. Marslılar bağımsızlığın tadını çıkarırken, kaynakları tükenen Dünya'nın gölgesi gezegenin üzerine düşmekte gecikmiyor. Çünkü bir zamanlar ""ölü"" olarak görülen Mars, şimdi milyonlarca Dünyalı için uğruna savaşılacak bir vahaya dönüşmüş durumda.

Kendi yazdıkları tarihin yaşayan birer efsanesi hâline gelen ""İlk Yüz"" üyeleri, kurulan bu yeni dünyanın insani hırslara yenik düşmemesi için zamana karşı amansız bir mücadeleye girişmek zorunda.

Mavi Mars, ütopyanın sınandığı son durak."
115;"Nemesis";"Isaac Asimov";"Nemesis";"Münevver Uzun";2026;"""Altın Çağ Bilimkurgusu""nun en büyük mimarlarından olan, kurduğu evrenlerle edebiyat tarihinde kendine eşsiz bir yer edinen Isaac Asimov, bilimin rasyonel kesinliğini kurgunun sınırsız gücüyle harmanlayan unutulmaz bir deha. ""Vakıf"" ve ""Robot"" gibi ölümsüzleşmiş serilerinden bağımsız olarak kaleme aldığı ve ölümünden sadece üç yıl önce tamamlayabildiği Nemesis ise insanlığın evrendeki yerini sorgulayan geç dönem yapıtlarından.

Yirmi üçüncü yüzyılda öncüler, aşırı kalabalıklaşan ve çöküşün eşiğine gelen Dünya'dan kaçarak kendi kendine yeten yörünge kolonilerinde yeni bir yaşama yelken açar. Bu kolonilerden biri olan Rotor, geliştirdiği çığır açıcı teknolojinin de yardımıyla Güneş Sistemi'ni arkasında bırakarak Nemesis adı verilen gizemli bir yıldızın yörüngesinde kendi asi ütopyasını kurmayı amaçlar. Ne var ki Nemesis, Rotor için yeni bir başlangıcı, Dünya içinse korkunç bir sonu beraberinde getirmektedir. Artık yaklaşan felaketi önlemenin tek anahtarı, Rotor'da doğup büyümüş on beş yaşındaki Marlene adlı genç bir kızın elindedir. Acaba sıradışı yeteneklere sahip Marlene, Nemesis'in sırlarını açığa çıkarıp yaklaşan yıkımı durdurabilecek midir? Yoksa insanın sınır tanımaz kibri ve kendi türüne yabancılaşması, evrenin acımasız kayıtsızlığında koca bir uygarlığın sonunu mu hazırlayacaktır?

Nemesis, felaketten kaçmaya çalışırken sığınılan uçurum."
116;"Kim Var Orada";"John W. Campbell";"Who Goes There? &#8211; Frozen Hell";"F. Cihan Akkartal";2026;"John W. Campbell Jr., etkili editörlüğüyle bilimkurgunun Altın Çağı'nı inşa eden, türe yön verip sayısız efsanevi yazarı edebiyat dünyasına kazandıran eşsiz bir vizyoner. Yazarlık kariyerindeki en özel işi sayılan ve sinema tarihine The Thing (Şey) uyarlamalarıyla damga vuran Kim Var Orada? ise klostrofobiyi kozmik dehşetle harmanlayan unutulmaz bir klasik.

Antarktika'nın dondurucu soğuğunda görev yapan İkinci Manyetik İstasyon ekibi, yüz binlerce yıl boyunca buzun altında gömülü kalmış dünya dışı bir gemiyi açığa çıkarır. Keşif tutkusuna yenik düşen biliminsanları, geminin içinde buldukları donmuş bedeni üsse taşımaya karar verir. Ancak bu karar, çok geçmeden insanlık tarihinin en ölümcül hatalarından birine dönüşür. Çünkü karşılarındaki ""şey"" sıradan bir canlı değildir; dokunduğu her organizmayı hücrelerine kadar kopyalayıp taklit edebilen eşi görülmemiş bir varlıktır. Artık araştırma ekibini hayatta kalmaktan çok daha zor bir görev beklemektedir: Yaratığın tüm dünyayı ele geçirmesini engellemek. Peki ama paranoyanın bulaşıcı bir hastalık gibi yayıldığı, dostluğun ve güvenin anlamını yitirdiği bu buz cehenneminde insan kalabilmek ne kadar mümkündür?

Kim Var Orada?, kuşkunun sıfır noktası."
Yakında;"Aytozu Faciası";"Arthur C. Clarke";"";"Ülkü Tuğba Çayır";Yakında;""
